slug,age,height,position
jakub-piotr-kiwior,25,189.0,Defender
nathan-butler-oyedeji,22,177.0,Forward
ethan-chidiebere-nwaneri,18,176.0,Midfielder
ben-white,27,186.0,Defender
norberto-murara-neto,35,190.0,Goalkeeper
david-raya-martin,29,183.0,Goalkeeper
brayden-cian-clarke,17,,Defender
william-saliba,24,192.0,Defender
jurrien-maduro,23,179.0,Defender
gabriel-fernando-de-jesus,28,175.0,Forward
emerson-palmieri-dos-santos,30,176.0,Defender
lucas-tolentino-coelho-de-lima,27,180.0,Midfielder
konstantinos-mavropanos,27,194.0,Defender
regan-clayton,20,,Defender
daniel-william-john-ings,32,178.0,Forward
vladimir-coufal,32,174.0,Defender
jarrod-bowen,28,175.0,Forward
freddie-potts,21,,Midfielder
evan-ferguson,20,183.0,Forward
aaron-wan-bissaka,27,183.0,Defender
ezra-mayers,18,183.0,Defender
alphonse-areola,32,195.0,Goalkeeper
jean-clair-todibo,25,192.0,Defender
edson-omar-alvarez-velazquez,27,187.0,Midfielder
crysencio-summerville,23,174.0,Forward
tomas-soucek,30,192.0,Midfielder
lukasz-fabianski,40,190.0,Goalkeeper
carlos-soler-barragan,28,180.0,Midfielder
james-ward-prowse,30,173.0,Midfielder
mohammed-kudus,24,177.0,Midfielder
oliver-scarles,19,182.0,Defender
max-kilman,28,194.0,Defender
aaron-cresswell,35,170.0,Defender
guido-rodriguez,31,185.0,Midfielder
kaelan-casey,20,185.0,Defender
luis-guilherme-lira-dos-santos,19,178.0,Forward
niclas-fullkrug,32,189.0,Forward
andrew-irving,25,190.0,Midfielder
michail-antonio,35,180.0,Forward
lewis-orford,19,189.0,Midfielder
wesley-foderingham,34,185.0,Goalkeeper
tyler-robert-fletcher,18,,Midfielder
dermot-mee,22,183.0,Goalkeeper
noussair-mazraoui,27,183.0,Defender
shea-lacey,18,167.0,Forward
andre-onana,29,190.0,Goalkeeper
jayce-john-fitzgerald,18,179.0,Midfielder
william-stephen-murdock,18,,Goalkeeper
bruno-miguel-borges-fernandes,30,179.0,Midfielder
lisandro-martinez,27,175.0,Defender
ayden-heaven,18,189.0,Defender
tyler-fredricson,20,184.0,Defender
amad-diallo-traore,22,173.0,Forward
reece-stafford-munro,18,,Defender
kobbie-mainoo,20,175.0,Midfielder
altay-bayindir,27,198.0,Goalkeeper
james-robert-scanlon,18,180.0,Midfielder
habeeb-ogunneye,19,179.0,Defender
victor-nilsson-lindelof,30,187.0,Defender
luke-shaw,29,178.0,Defender
joshua-zirkzee,24,193.0,Forward
leny-yoro,19,190.0,Defender
louis-jackson,19,,Defender
carlos-henrique-casimiro,33,185.0,Midfielder
jonny-evans,37,188.0,Defender
jose-diogo-dalot-teixeira,26,183.0,Defender
tobias-christopher-collyer,21,180.0,Midfielder
manuel-ugarte-ribeiro,24,182.0,Midfielder
alejandro-garnacho-ferreyra,20,180.0,Forward
godwill-kukonki,17,196.0,Defender
bendito-boanova-mantato,17,180.0,Midfielder
jack-andrew-davidson-fletcher,18,180.0,Midfielder
matthijs-de-ligt,25,187.0,Defender
mason-mount,26,181.0,Midfielder
patrick-chinazaekpere-dorgu,20,185.0,Defender
jim-alec-joseph-thwaites,17,,Midfielder
sekou-kone,19,176.0,Midfielder
hubert-graczyk,22,192.0,Goalkeeper
chidozie-obi-martin,17,188.0,Forward
elyh-samuel-harrison,19,182.0,Goalkeeper
jaydan-dejon-kamason,18,,Defender
matheus-santos-carneiro-da-cunha,26,183.0,Forward
christian-dannemann-eriksen,33,182.0,Midfielder
rasmus-winther-hojlund,22,191.0,Forward
harry-maguire,32,194.0,Defender
tom-heaton,39,188.0,Goalkeeper
daniel-james-armer,17,,Defender
harry-amass,18,181.0,Defender
jack-lee-moorhouse,19,184.0,Midfielder
fabian-lukas-schar,33,186.0,Defender
nick-pope,33,191.0,Goalkeeper
sandro-tonali,25,181.0,Midfielder
jamal-lewis,27,178.0,Defender
sean-thoms-neave,18,,Forward
will-osula,21,180.0,Forward
bruno-guimaraes-rodriguez-moura,27,182.0,Midfielder
kieran-trippier,34,178.0,Defender
lewis-hall-2004-09-08,20,179.0,Defender
trevan-sanusi,18,178.0,Forward
harrison-ashby,23,179.0,Defender
joelinton-cassio-apolinario-de-lira,28,186.0,Midfielder
matt-targett,29,183.0,Defender
callum-wilson,33,180.0,Forward
anthony-gordon,24,183.0,Forward
lewis-miley,19,185.0,Midfielder
odisseas-vlachodimos,31,188.0,Goalkeeper
martin-dubravka,36,190.0,Goalkeeper
harvey-lewis-barnes,27,174.0,Midfielder
jacob-murphy,30,179.0,Midfielder
john-ruddy,38,192.0,Goalkeeper
joseph-willock,25,179.0,Midfielder
emil-krafth,30,184.0,Defender
sven-botman,25,193.0,Defender
valentino-livramento,22,182.0,Defender
mark-gillespie,33,192.0,Goalkeeper
sean-longstaff,27,180.0,Midfielder
dan-burn,33,198.0,Defender
alexander-isak,25,192.0,Forward
leo-shahar,18,,Defender
jamal-lascelles,31,188.0,Defender
keane-lewis-potter,24,170.0,Forward
ehor-yarmolyuk,21,180.0,Midfielder
caoimhin-kelleher,26,188.0,Goalkeeper
ben-mee,35,180.0,Defender
aaron-hickey,22,178.0,Defender
hakon-rafn-valdimarsson,23,188.0,Goalkeeper
kevin-schade,23,183.0,Midfielder
vitaly-janelt,27,184.0,Midfielder
edmond-paris-maghoma,24,181.0,Midfielder
nathan-michael-collins,24,193.0,Defender
pelenda-joshua-tunga-dasilva,26,184.0,Midfielder
mathias-jensen,29,180.0,Midfielder
benjamin-arthur,19,189.0,Defender
iwan-morgan,19,182.0,Forward
sepp-van-den-berg,23,189.0,Defender
gustavo-nunes-fernandes-gomes,19,173.0,Forward
rico-henry,27,170.0,Defender
bryan-mbeumo,25,173.0,Forward
julian-ryan-eyestone,19,198.0,Goalkeeper
kristoffer-vassbakk-ajer,27,198.0,Defender
ethan-pinnock,32,187.0,Defender
yunus-emre-konak,19,181.0,Midfielder
igor-thiago-nascimento-rodrigues,23,191.0,Forward
michael-olabode-kayode,20,179.0,Defender
ellery-balcombe,25,190.0,Goalkeeper
mikkel-damsgaard,24,180.0,Midfielder
yoane-wissa,28,176.0,Forward
kim-ji-soo,20,192.0,Defender
christian-norgaard,31,187.0,Midfielder
fabio-carvalho,22,170.0,Midfielder
benjamin-chiemela-fredrick,20,187.0,Defender
leif-davis,25,182.0,Defender
wes-burns,30,173.0,Forward
julio-enciso,21,173.0,Midfielder
benjamin-johnson,25,175.0,Defender
conor-chaplin,28,168.0,Forward
massimo-luongo,32,176.0,Midfielder
george-hirst,26,191.0,Forward
sam-morsy,33,175.0,Midfielder
jaden-philogene-bidace,23,181.0,Forward
cameron-burgess,29,194.0,Defender
christian-walton,29,195.0,Goalkeeper
jack-clarke,24,181.0,Forward
omari-giraud-hutchinson,21,174.0,Forward
somtochukwu-alan-udochukwu-boniface,19,,Defender
luke-woolfenden,26,193.0,Defender
alex-palmer,28,191.0,Goalkeeper
arijanet-muric,26,198.0,Goalkeeper
ben-godfrey,27,184.0,Defender
chiedozie-ogbene,28,181.0,Forward
dara-o-shea,26,189.0,Defender
nathan-broadhead,27,178.0,Forward
kalvin-phillips,29,178.0,Midfielder
jack-taylor,26,185.0,Midfielder
axel-tuanzebe,27,186.0,Defender
jens-lys-michel-cajuste,25,188.0,Midfielder
tom-taylor,0,,Midfielder
cieran-slicker,22,191.0,Goalkeeper
samuel-szmodics,29,168.0,Forward
jacob-greaves,24,185.0,Defender
conor-townsend,32,183.0,Defender
mykhailo-mudryk,24,175.0,Midfielder
landon-emenalo,17,177.0,Midfielder
harrison-alexander-murray-campbell,18,186.0,Defender
filip-jorgensen,23,190.0,Goalkeeper
marc-cucurella-saseta,26,172.0,Defender
romeo-lavia,21,181.0,Midfielder
liam-delap,22,186.0,Forward
oluwatosin-adarabioyo,27,196.0,Defender
marcus-bettinelli,33,193.0,Goalkeeper
samuel-rak-sakyi,20,178.0,Midfielder
mathis-amougou,19,177.0,Midfielder
jadon-sancho,25,180.0,Forward
reggie-walsh,16,,Midfielder
lucas-bergstrom,22,205.0,Goalkeeper
ray-kendry-paez-andrade,18,178.0,Midfielder
ishe-samuels-smith,19,186.0,Defender
levi-colwill,22,187.0,Defender
cole-palmer,23,189.0,Midfielder
kiernan-dewsbury-hall,26,178.0,Midfielder
richard-oghenekome-olise,20,173.0,Defender
reece-james,25,182.0,Defender
joshua-kofi-acheampong,19,184.0,Defender
robert-lynch-sanchez,27,197.0,Goalkeeper
teddy-noah-curd,19,190.0,Goalkeeper
kiano-dyer,18,178.0,Midfielder
enzo-jeremias-fernandez,24,178.0,Midfielder
benoit-badiashile-mukinayi,24,194.0,Defender
wesley-fofana,24,190.0,Defender
david-datro-fofana,22,181.0,Forward
chukwunonso-madueke,23,182.0,Forward
marc-guiu-paz,19,187.0,Forward
aaron-anselmino,20,186.0,Defender
edward-james-beach,21,196.0,Goalkeeper
shumaira-mheuka,17,182.0,Forward
nicolas-jackson,23,186.0,Forward
pedro-lomba-neto,25,172.0,Forward
omari-kellyman,19,191.0,Midfielder
trevoh-chalobah,25,190.0,Defender
tyrique-george,19,181.0,Forward
genesis-antwi,18,,Defender
kaiden-carlton-anthony-wilson,19,191.0,Defender
malo-gusto,22,179.0,Defender
christopher-nkunku,27,178.0,Forward
ato-ampah,19,176.0,Forward
